NOMBRE;RESPONSABLE;FECHA LIMITE;ESTADO;PRIORIDAD;COMENTARIO;NOTAS
Tarea1;Daniel;14/05/2024;PENDIENTE;ALTA;REALIZAR CRUD;Notas tarea 1
Tarea2;Daniel;15/05/2024;PENDIENTE;MEDIA;IMPLEMENTAR FUNCIONALIDAD;Notas tarea 2
Tarea3;Daniel;16/05/2024;EN PROGRESO;BAJA;OPTIMIZAR RENDIMIENTO;Notas tarea 3
Tarea4;Daniel;17/05/2024;COMPLETADA;ALTA;RESOLVER BUGS;Notas tarea 4
Tarea5;Daniel;18/05/2024;PENDIENTE;ALTA;DISEÑAR INTERFAZ;Notas tarea 5
Tarea6;Daniel;19/05/2024;EN PROGRESO;MEDIA;TESTEAR NUEVAS FUNCIONALIDADES;Notas tarea 6
Tarea7;Daniel;20/05/2024;PENDIENTE;BAJA;ACTUALIZAR DOCUMENTACIÓN;Notas tarea 7
Tarea8;Daniel;21/05/2024;COMPLETADA;ALTA;OPTIMIZAR CÓDIGO;Notas tarea 8
Tarea9;Daniel;22/05/2024;PENDIENTE;ALTA;SOLUCIONAR CONFLICTOS;Notas tarea 9
Tarea10;Daniel;23/05/2024;EN PROGRESO;MEDIA;REVISAR REQUERIMIENTOS;Notas tarea 10
Tarea11;Daniel;24/05/2024;PENDIENTE;BAJA;MEJORAR EXPERIENCIA DE USUARIO;Notas tarea 11
Tarea12;Daniel;25/05/2024;COMPLETADA;ALTA;IMPLEMENTAR SEGURIDAD;Notas tarea 12
Tarea13;Daniel;26/05/2024;PENDIENTE;ALTA;AJUSTAR ESTILOS;Notas tarea 13
Tarea14;Daniel;27/05/2024;EN PROGRESO;MEDIA;PROBAR COMPATIBILIDAD;Notas tarea 14
Tarea15;Daniel;28/05/2024;PENDIENTE;BAJA;OPTIMIZAR BASE DE DATOS;Notas tarea 15
Tarea16;Daniel;29/05/2024;COMPLETADA;ALTA;SOLUCIONAR ERRORES DE DEPENDECIA;Notas tarea 16
Tarea17;Daniel;30/05/2024;PENDIENTE;ALTA;AGREGAR LOGGING;Notas tarea 17
Tarea18;Daniel;31/05/2024;EN PROGRESO;MEDIA;ANALIZAR RENDIMIENTO;Notas tarea 18
Tarea19;Daniel;01/06/2024;PENDIENTE;BAJA;REVISAR COMPATIBILIDAD;Notas tarea 19
